,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
572,Digital,OverDrive,EBOOK,2018,1,4,The Serpent King,,Jeff Zentner,"Young Adult Fiction, Young Adult Literature","Random House, Inc.",2016
573,Digital,OverDrive,EBOOK,2018,1,1,"Mystery of the Traveling Tomatoes: The Boxcar Children Series, Book 117",,Gertrude  Chandler Warner,"Juvenile Fiction, Mystery",Open Road Integrated Media,2012
574,Digital,OverDrive,EBOOK,2018,1,3,"Know Yourself, Forget Yourself: Five Truths to Transform Your Work, Relationships, and Everyday Life",,Marc Lesser,"New Age, Nonfiction",New World Library,2013
577,Digital,OverDrive,EBOOK,2018,1,2,"The House by the Lake: One House, Five Families, and a Hundred Years of German History",,Thomas Harding,"Biography & Autobiography, History, Nonfiction",Macmillan Publishers,2016
583,Digital,OverDrive,EBOOK,2018,1,1,"Poison Sleep: Marla Mason Series, Book 2",,Tim Pratt,"Fantasy, Fiction","Random House, Inc.",2008
586,Digital,OverDrive,EBOOK,2018,1,4,Happiness: The Crooked Little Road to Semi-Ever After,,Heather Harpham,"Biography & Autobiography, Nonfiction",Macmillan Publishers,2017
593,Digital,OverDrive,EBOOK,2018,1,1,"101 Great Résumés: Winning Résumés for Any Situation, Job, or Career (Third Edition)",,Ron Fry,"Business, Careers, Nonfiction",Open Road Integrated Media,2012
597,Digital,OverDrive,EBOOK,2018,1,4,The Negative Calorie Diet: 10 All You Can Eat Foods—10 Hard to Lose Pounds = 10 Life-Changing Days,,Rocco DiSpirito,"Cooking & Food, Health & Fitness, Nonfiction",HarperCollins Publishers Inc.,2015
601,Digital,OverDrive,EBOOK,2018,1,1,The Berenstain Bears' Christmas Tree,,Stan and Jan Berenstain w/ Mike Berenstain,"Juvenile Fiction, Picture Book Fiction",Zondervan,2010
610,Digital,OverDrive,EBOOK,2018,1,1,She of the Mountains,,Vivek Shraya,"Fiction, Literature",Lightning Source Inc,2014
613,Digital,OverDrive,EBOOK,2018,1,1,Creature Keepers and the Perilous Pyro-Paws,,Peter Nelson,"Humor (Fiction), Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2017
626,Digital,OverDrive,EBOOK,2018,1,1,"The Paradise War: Song of Albion Series, Book 1",,Stephen Lawhead,"Fantasy, Fiction",Thomas Nelson Inc.,2011
632,Digital,OverDrive,EBOOK,2018,1,1,The Complete Outdoor Builder: From Arbors to Walkways,,Editors of CPi,"Crafts, Home Design & Décor, Nonfiction",Quarto Publishing Group USA,2010
634,Digital,OverDrive,EBOOK,2018,1,7,Spaceman of Bohemia,,Jaroslav Kalfar,"Fiction, Literature, Science Fiction","Hachette Digital, Inc.",2017
636,Digital,OverDrive,EBOOK,2018,1,1,The Man Who Ate His Boots: The Tragic History of the Search for the Northwest Passage,,Anthony Brandt,"History, Nonfiction","Random House, Inc.",2010
653,Digital,OverDrive,EBOOK,2018,1,1,"Obsession, Deceit and Really Dark Chocolate",,Kyra Davis,"Chick Lit, Fiction, Romance","Harlequin Enterprises, Ltd.",2012
658,Digital,OverDrive,EBOOK,2018,1,8,"Manners & Mutiny: Finishing School Series, Book 4",,Gail Carriger,"Fantasy, Historical Fiction, Young Adult Fiction","Hachette Digital, Inc.",2015
659,Digital,OverDrive,EBOOK,2018,1,2,The Known World,,Edward P. Jones,"African American Fiction, Fiction, Historical Fiction",HarperCollins Publishers Inc.,2006
661,Digital,OverDrive,EBOOK,2018,1,1,The Dosadi Experiment,,Frank Herbert,"Fiction, Science Fiction",Macmillan Publishers,2013
686,Digital,OverDrive,EBOOK,2018,1,2,"Ramona the Pest: Ramona Quimby Series, Book 2",,Beverly Cleary,"Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2008
693,Digital,OverDrive,EBOOK,2018,1,1,Citadel: A Novel,,Kate Mosse,"Fantasy, Fiction, Historical Fiction, Thriller",HarperCollins Publishers Inc.,2014
697,Digital,OverDrive,EBOOK,2018,1,4,Dead Letters: A Novel,,Caite Dolan-Leach,"Fiction, Literature, Suspense, Thriller","Random House, Inc.",2017
702,Digital,OverDrive,EBOOK,2018,1,1,"Sleeping with Fear: Fear Series, Book 3",,Kay Hooper,"Fiction, Mystery, Suspense, Thriller","Random House, Inc.",2011
703,Digital,OverDrive,EBOOK,2018,1,2,The Art of Mending: A Novel,,Elizabeth Berg,"Fiction, Literature","Random House, Inc.",2012
716,Digital,OverDrive,EBOOK,2018,1,2,"Fly Guy vs. the Flyswatter!: Fly Guy Series, Book 10",,Tedd Arnold,"Beginning Reader, Humor (Fiction), Juvenile Fiction, Picture Book Fiction","Scholastic, Inc. (US)",2015
719,Digital,OverDrive,EBOOK,2018,1,1,"The Sudden Arrival of Violence: Glasgow Trilogy, Book 3",,Malcolm Mackay,"Fiction, Mystery","Hachette Digital, Inc.",2015
725,Digital,OverDrive,EBOOK,2018,1,1,Skippy Dies: A Novel,,Paul Murray,"Fiction, Literature",Macmillan Publishers,2015
728,Digital,OverDrive,EBOOK,2018,1,1,How to Take the Grr out of Anger,,Elizabeth Verdick,"Children, Juvenile Nonfiction, Self-Improvement",Free Spirit Publishing,2012
729,Digital,OverDrive,EBOOK,2018,1,1,Midnight Without a Moon,,Linda Williams Jackson,"Historical Fiction, Juvenile Fiction",Houghton Mifflin Harcourt Trade and Reference,2017
733,Digital,OverDrive,EBOOK,2018,1,1,Mutants: On Genetic Variety and the Human Body,,Armand Marie Leroi,"Nonfiction, Science","Penguin Group (USA), Inc.",2013
737,Digital,OverDrive,EBOOK,2018,1,2,A Valentine Wedding,,Jane Feather,"Fiction, Historical Fiction, Humor (Fiction), Romance","Random House, Inc.",2011
740,Digital,OverDrive,EBOOK,2018,1,2,Seven Seasons in Siena: My Quixotic Quest for Acceptance Among Tuscany's Proudest People,,Robert Rodi,"Biography & Autobiography, Nonfiction, Sociology, Travel","Random House, Inc.",2012
741,Digital,OverDrive,EBOOK,2018,1,2,"Back in Time: Geronimo Stilton Journey Through Time Series, Book 2",,Geronimo Stilton,"Juvenile Fiction, Juvenile Literature","Scholastic, Inc. (US)",2015
743,Digital,OverDrive,EBOOK,2018,1,5,We Love Trucks!: I Can Read Level 1,,Jan Berenstain,"Beginning Reader, Juvenile Fiction, Picture Book Fiction",HarperCollins Publishers Inc.,2015
748,Digital,OverDrive,EBOOK,2018,1,2,The Taste of Country Cooking,,Edna Lewis,"Cooking & Food, Nonfiction","Random House, Inc.",2015
751,Digital,OverDrive,EBOOK,2018,1,1,The Stargirl Collection,,Jerry Spinelli,"Romance, Young Adult Fiction, Young Adult Literature","Random House, Inc.",2013
757,Digital,OverDrive,EBOOK,2018,1,2,Investing Online For Dummies,,Matt Krantz,"Business, Nonfiction","John Wiley & Sons, Inc.",2013
760,Digital,OverDrive,EBOOK,2018,1,4,"A Matter of Trust: Montana Rescue Series, Book 3",,Susan May Warren,"Fiction, Romance",Baker Publishing Group,2018
762,Digital,OverDrive,EBOOK,2018,1,1,"Faithful Unto Death: Chief Inspector Barnaby Series, Book 5",,Caroline Graham,"Fiction, Mystery",Macmillan Publishers,2013
773,Digital,OverDrive,EBOOK,2018,1,1,"Zakka Handmades: 24 Projects Sewn from Natural Fabrics to Help Organize, Adorn, and Simplify Your Life",,Amy Morinaka,"Crafts, Nonfiction",Quarto Publishing Group USA,2013
782,Digital,OverDrive,EBOOK,2018,1,3,"The Edge of the World: Terra Incognita Series, Book 1",,Kevin J. Anderson,"Fantasy, Fiction, Thriller","Hachette Digital, Inc.",2012
783,Digital,OverDrive,EBOOK,2018,1,2,Catalina: A Novel,,Liska Jacobs,"Fiction, Literature",Macmillan Publishers,2017
796,Digital,OverDrive,EBOOK,2018,1,1,Ask an Astronaut: My Guide to Life in Space,,Tim Peake,"Biography & Autobiography, Nonfiction, Technology","Hachette Digital, Inc.",2017
797,Digital,OverDrive,EBOOK,2018,1,2,"Undiscovered: Amoveo Rising Series, Book 1",,Sara Humphreys,"Fantasy, Fiction, Romance",Sourcebooks,2017
809,Digital,OverDrive,EBOOK,2018,1,2,Isaac Asimov's Utopia,,Roger Macbride Allen,"Fiction, Science Fiction","ibooks, Inc.",2009
811,Digital,OverDrive,EBOOK,2018,1,1,Blue Bay Mystery & Snowbound Mystery: Two Complete Boxcar Children Graphic Novels,,Gertrude  Chandler Warner,"Comic and Graphic Books, Juvenile Fiction, Mystery",Open Road Integrated Media,2011
821,Digital,OverDrive,EBOOK,2018,1,1,"Out of Oz: Wicked Years Series, Book 4",,Gregory Maguire,"Fantasy, Fiction",HarperCollins Publishers Inc.,2011
822,Digital,OverDrive,EBOOK,2018,1,2,"No Tan Lines: Barefoot William Series, Book 1",,Kate Angell,"Fiction, Literature, Romance","Random House, Inc.",2012
829,Digital,OverDrive,EBOOK,2018,1,11,"The Last Kingdom: The Warrior Chronicles, Book 1",,Bernard Cornwell,"Fiction, Historical Fiction",HarperCollins Publishers Inc.,2005
832,Digital,OverDrive,EBOOK,2018,1,1,New York City History for Kids: From New Amsterdam to the Big Apple with 21 Activities,,Richard Panchyk,"History, Juvenile Nonfiction",Independent Publishers Group,2013
836,Digital,OverDrive,EBOOK,2018,1,3,Finding Your Element: How to Discover Your Talents and Passions and Transform Your Life,,"Sir Ken Robinson, PhD","Business, Education, Nonfiction, Self-Improvement","Penguin Group (USA), Inc.",2013
837,Digital,OverDrive,EBOOK,2018,1,1,The Magic Fox,,Paula Harrison,"Juvenile Fiction, Juvenile Literature, Mythology","Simon & Schuster, Inc.",2017
842,Digital,OverDrive,EBOOK,2018,1,1,"How to Marry a Highlander: Falcon Club Series, Book 3.5",,Katharine Ashe,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2013
844,Digital,OverDrive,EBOOK,2018,1,9,Black Hole Blues and Other Songs from Outer Space,,Janna Levin,"Nonfiction, Science","Random House, Inc.",2016
848,Digital,OverDrive,EBOOK,2018,1,1,"Dragon Moon: Moon Series, Book 11",,Rebecca York,"Fiction, Romance","Penguin Group (USA), Inc.",2013
849,Digital,OverDrive,EBOOK,2018,1,3,"The Stash Plan: 21 Days to a Stronger, Healthier, Fat-Burning New You",,Laura Prepon,"Family & Relationships, Health & Fitness, Nonfiction, Self-Improvement","Simon & Schuster, Inc.",2016
864,Digital,OverDrive,EBOOK,2018,1,1,Rage: A Love Story,,Julie Anne Peters,"Young Adult Fiction, Young Adult Literature","Random House, Inc.",2009
866,Digital,OverDrive,EBOOK,2018,1,1,"Emily's Quest: Emily Series, Book 3",,L.M. Montgomery,"Classic Literature, Juvenile Literature, Young Adult Fiction",Sourcebooks,2014
869,Digital,OverDrive,EBOOK,2018,1,1,Complete Electronics Self-Teaching Guide with Projects,,Earl Boysen,"Nonfiction, Technology","John Wiley & Sons, Inc.",2012
872,Digital,OverDrive,EBOOK,2018,1,1,"A Heart's Rebellion--A Regency Romance: London Encounters Series, Book 2",,Ruth Axtell,"Fiction, Historical Fiction, Romance",Baker Publishing Group,2014
874,Digital,OverDrive,EBOOK,2018,1,1,So Far from God: A Novel,,Ana Castillo,"Fantasy, Fiction, Literature",W. W. Norton & Company,2016
885,Digital,OverDrive,EBOOK,2018,1,1,"Mrs. Jeffries Plays the Cook: Mrs. Jeffries and Inspector Witherspoon Series, Book 7",,Emily Brightwell,"Fiction, Mystery","Penguin Group (USA), Inc.",2013
896,Digital,OverDrive,EBOOK,2018,1,1,"A Cheese-Colored Camper: Geronimo Stilton Series, Book 16",,Geronimo Stilton,"Juvenile Fiction, Juvenile Literature","Scholastic, Inc. (US)",2015
897,Digital,OverDrive,EBOOK,2018,1,1,The Rough Guide to South India,,David Abram,"Nonfiction, Travel",DK Publishing & Rough Guides,2011
900,Digital,OverDrive,EBOOK,2018,1,2,"Attack of the Nindroids: LEGO Ninjago Reader Series, Book 8",,Kate Howard,"Comic and Graphic Books, Fantasy, Juvenile Fiction","Scholastic, Inc. (US)",2016
902,Digital,OverDrive,EBOOK,2018,1,1,The Filter Bubble: What the Internet Is Hiding From You,,Eli Pariser,"Nonfiction, Technology","Penguin Group (USA), Inc.",2011
907,Digital,OverDrive,EBOOK,2018,1,1,"Past Lives, Present Miracles",,Denise Linn,"New Age, Nonfiction","Hay House, Inc.",2013
912,Digital,OverDrive,EBOOK,2018,1,10,Zealot: The Life and Times of Jesus of Nazareth,,Reza Aslan,"Biography & Autobiography, Nonfiction, Politics, Religion & Spirituality","Random House, Inc.",2013
919,Digital,OverDrive,EBOOK,2018,1,1,"Carol Doak's Creative Combinations: Stunning Blocks & Borders from a Single Unit, 32 Paper-Pieced Units, 8 Quilt Projects",,Carol Doak,"Crafts, Nonfiction",National Book Network (NBN),2013
929,Digital,OverDrive,EBOOK,2018,1,3,"The Best-Ever Wheat-and Gluten-Free Baking Book: Over 200 Recipes for Muffins, Cookies, Breads, and More",,Mary Ann Wenniger,"Cooking & Food, Nonfiction",Quarto Publishing Group USA,2010
949,Digital,OverDrive,EBOOK,2018,1,2,Being a Dog: Following the Dog Into a World of Smell,,Alexandra Horowitz,"Nonfiction, Pets, Psychology, Science","Simon & Schuster, Inc.",2016
951,Digital,OverDrive,EBOOK,2018,1,1,"Beyond the Deepwoods: The Edge Chronicles: The Twig Trilogy, Book 1",,Paul Stewart,"Fantasy, Juvenile Fiction","Random House, Inc.",2011
952,Digital,OverDrive,EBOOK,2018,1,1,Kiss Kill Vanish,,Jessica Martinez,"Romance, Young Adult Fiction, Young Adult Literature",HarperCollins Publishers Inc.,2015
954,Digital,OverDrive,EBOOK,2018,1,71,Beartown: A Novel,,Fredrik Backman,"Fiction, Literature","Simon & Schuster, Inc.",2017
957,Digital,OverDrive,EBOOK,2018,1,6,Traveling Mercies: Some Thoughts on Faith,,Anne Lamott,"Biography & Autobiography, New Age, Nonfiction, Religion & Spirituality","Random House, Inc.",2011
958,Digital,OverDrive,EBOOK,2018,1,2,"Christmas in Snowflake Canyon: Hope's Crossing Series, Book 6",,RaeAnne  Thayne,"Fiction, Romance","Harlequin Enterprises, Ltd.",2013
961,Digital,OverDrive,EBOOK,2018,1,38,No Man's Land,,David Baldacci,"Fiction, Mystery, Suspense, Thriller","Hachette Digital, Inc.",2016
963,Digital,OverDrive,EBOOK,2018,1,5,North and South,,Elizabeth Gaskell,"Classic Literature, Fiction",Duke Classics,2012
966,Digital,OverDrive,EBOOK,2018,1,2,"The Face on the Milk Carton: Janie Johnson Series, Book 1",,Caroline B. Cooney,"Mystery, Suspense, Thriller, Young Adult Fiction","Random House, Inc.",2009
967,Digital,OverDrive,EBOOK,2018,1,1,Vertical Vegetables and Fruit,,Rhonda Massingham Hart,"Gardening, Nonfiction",Workman Publishing,2012
969,Digital,OverDrive,EBOOK,2018,1,1,"The Cat Who Knew a Cardinal: The Cat Who Series, Book 12",,Lilian Jackson Braun,"Fiction, Mystery","Penguin Group (USA), Inc.",2011
972,Digital,OverDrive,EBOOK,2018,1,3,"Kitchen Creativity: Unlocking Culinary Geniuswith Wisdom, Inspiration, and Ideas from the World's Most Creative Chefs",,Karen Page,"Cooking & Food, Nonfiction, Reference","Hachette Digital, Inc.",2017
975,Digital,OverDrive,EBOOK,2018,1,2,"What I Wore: Four Seasons, One Closet, Endless Recipes for Personal Style",,Jessica Quirk,"Art, Nonfiction, Self-Improvement, Sociology","Random House, Inc.",2012
976,Digital,OverDrive,EBOOK,2018,1,3,168 Hours: You Have More Time Than You Think,,Laura Vanderkam,"Business, Nonfiction","Penguin Group (USA), Inc.",2010
977,Digital,OverDrive,EBOOK,2018,1,1,"To Brew or Not to Brew: A Brewing Trouble Mystery Series, Book 1",,Joyce Tremel,"Fiction, Mystery","Penguin Group (USA), Inc.",2015
981,Digital,OverDrive,EBOOK,2018,1,2,"Indigo Christmas: Hilda Johansson Series, Book 6",,Jeanne Dams,"Fiction, Historical Fiction",SCB Distributors,2012
986,Digital,OverDrive,EBOOK,2018,1,3,"Flower Net: Red Princess Mystery Series, Book 1",,Lisa See,"Fiction, Mystery, Thriller","Random House, Inc.",2010
987,Digital,OverDrive,EBOOK,2018,1,2,"Agatha Raisin and the Perfect Paragon: Agatha Raisin Mystery Series, Book 16",,M. C. Beaton,"Fiction, Humor (Fiction), Mystery",Macmillan Publishers,2013
995,Digital,OverDrive,EBOOK,2018,1,1,Barcelona e>>guide,,Blue Island,"Nonfiction, Travel",Dorling Kindersley Limited,2006
1005,Digital,OverDrive,EBOOK,2018,1,5,"Thicker Than Blood: The Twenty-Sided Sorceress, #6",,Annie Bellet,"Fantasy, Fiction","Draft2Digital, LLC",2017
1007,Digital,OverDrive,EBOOK,2018,1,1,The Chimes,,Anna Smaill,"Fantasy, Fiction, Literature","Hachette Digital, Inc.",2016
1014,Digital,OverDrive,EBOOK,2018,1,1,Sea Glass Island,,Sherryl Woods,"Fiction, Romance","Harlequin Enterprises, Ltd.",2013
1015,Digital,OverDrive,EBOOK,2018,1,2,"The Countess of Prague: The Countess of Prague Series, Book 1",,Stephen Weeks,"Fiction, Mystery",Poisoned Pen Press,2017
1020,Digital,OverDrive,EBOOK,2018,1,1,"Lost Souls: New Orleans Series, Book 5",,Lisa Jackson,"Fiction, Thriller","Random House, Inc.",2009
1026,Digital,OverDrive,EBOOK,2018,1,2,1001 Low-Carb Recipes,,Dana Carpender,"Cooking & Food, Nonfiction",Quarto Publishing Group USA,2010
1027,Digital,OverDrive,EBOOK,2018,1,1,Blink Once,,Cylin Busby,"Science Fiction, Young Adult Fiction",Bloomsbury USA,2012
1032,Digital,OverDrive,EBOOK,2018,1,1,"Mounting Fears: Will Lee Series, Book 7",,Stuart Woods,"Fiction, Thriller","Penguin Group (USA), Inc.",2009
1034,Digital,OverDrive,EBOOK,2018,1,2,The Complete Guide to Carpentry for Homeowners: Basic Carpentry Skills & Everyday Home Repairs,,Chris Marshall,"Crafts, Home Design & Décor, Nonfiction",Quarto Publishing Group USA,2010
1038,Digital,OverDrive,EBOOK,2018,1,3,"Elite: Hunter Series, Book 2",,Mercedes Lackey,"Science Fiction & Fantasy, Young Adult Fiction",Disney Digital Books,2017
1042,Digital,OverDrive,EBOOK,2018,1,1,"The Art of Stealing Time: Time Thief Series, Book 2",,Katie MacAlister,"Fantasy, Fiction, Romance, Thriller","Penguin Group (USA), Inc.",2013
1044,Digital,OverDrive,EBOOK,2018,1,1,As Husbands Go: A Novel,,Susan Isaacs,"Fiction, Literature, Mystery","Simon & Schuster, Inc.",2014
1051,Digital,OverDrive,EBOOK,2018,1,1,Destination Unknown,,Agatha Christie,"Fiction, Mystery",HarperCollins Publishers Inc.,2010
1054,Digital,OverDrive,EBOOK,2018,1,3,"The Care and Feeding of Stray Vampires: Half-Moon Hollow Series, Book 1",,Molly Harper,"Fantasy, Fiction, Romance","Simon & Schuster, Inc.",2014
1056,Digital,OverDrive,EBOOK,2018,1,1,Mrs. Smith's Spy School for Girls,,Beth Mcmullen,"Juvenile Fiction, Juvenile Literature, Mystery","Simon & Schuster, Inc.",2017
1059,Digital,OverDrive,EBOOK,2018,1,4,18 and Life on Skid Row,,Sebastian Bach,"Biography & Autobiography, Music, Nonfiction",HarperCollins Publishers Inc.,2016
1069,Digital,OverDrive,EBOOK,2018,1,3,Wish Come True,,Keira Andrews,"Fiction, Literature, Romance","Smashwords, Inc.",2016
1072,Digital,OverDrive,EBOOK,2018,1,9,"Keto Slow Cooker & One-Pot Meals: Over 100 Simple & Delicious Low-Carb, Paleo and Primal Recipes for Weight Loss and Better Health",,Martina Slajerova,"Cooking & Food, Nonfiction",Quarto Publishing Group USA,2018
1073,Digital,OverDrive,EBOOK,2018,1,3,"Confessions of a Little Black Gown: Bachelor Chronicles, Book 4",,Elizabeth Boyle,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2009
1077,Digital,OverDrive,EBOOK,2018,1,2,"Irresistible: Banning Sisters Trilogy, Book 2",,Karen Robards,"Fiction, Historical Fiction, Literature, Romance","Simon & Schuster, Inc.",2014
